full diagram: 1992 nodes, 2023 edges
region      : 114 nodes, 107 edges
   '165_6': pos=(2, 7, 40) tqec=XZX other=None
   '161_6': pos=(4, 4, 40) tqec=XZX other=None
   '165_6_t': pos=(1, 8, 40) tqec=None other=T
   'path_161_1': pos=(1, 7, 40) tqec=ZZX other=None
   'path_168_2': pos=(4, 6, 40) tqec=XXZ other=None
   'path_168_3': pos=(4, 7, 40) tqec=XZZ other=None
   'path_245_18': pos=(2, 4, 40) tqec=ZXZ other=None
   'path_325_5': pos=(0, 4, 40) tqec=XZZ other=None
   'path_328_11': pos=(0, 6, 40) tqec=XZZ other=None
   '168_6': pos=(4, 4, 41) tqec=XZZ other=None
   'path_166_2': pos=(4, 5, 41) tqec=ZZX other=None
   'path_166_3': pos=(3, 5, 41) tqec=ZZX other=None
   'path_166_4': pos=(2, 5, 41) tqec=XZX other=None
   'path_168_4': pos=(4, 7, 41) tqec=XZZ other=None
   'path_245_17': pos=(2, 4, 41) tqec=ZXZ other=None
   'path_321_2': pos=(2, 7, 41) tqec=XZZ other=None
   'path_325_4': pos=(0, 4, 41) tqec=XZZ other=None
   'path_328_10': pos=(0, 6, 41) tqec=XZZ other=None
   'path_165_7': pos=(0, 5, 42) tqec=ZXZ other=None
   'path_165_8': pos=(1, 5, 42) tqec=XXZ other=None
   'path_165_9': pos=(1, 6, 42) tqec=XXZ other=None
   'path_165_10': pos=(2, 6, 42) tqec=ZXZ other=None
   'path_165_11': pos=(3, 6, 42) tqec=ZXZ other=None
   'path_165_12': pos=(4, 6, 42) tqec=ZXZ other=None
   'path_166_5': pos=(2, 5, 42) tqec=XZZ other=None
   'path_168_5': pos=(4, 7, 42) tqec=XZZ other=None
   'path_245_16': pos=(2, 4, 42) tqec=ZXZ other=None
   'path_321_1': pos=(2, 7, 42) tqec=XZZ other=None
   'path_324_3': pos=(4, 4, 42) tqec=XZZ other=None
   'path_325_3': pos=(0, 4, 42) tqec=XZZ other=None
   'path_328_9': pos=(0, 6, 42) tqec=XZZ other=None
   '172_6_old': pos=(2, 7, 43) tqec=XZZ other=None
   'path_166_6': pos=(2, 5, 43) tqec=XZZ other=None
   'path_166_7': pos=(2, 6, 43) tqec=XZZ other=None
   'path_168_6': pos=(4, 7, 43) tqec=XZZ other=None
   'path_168_7': pos=(4, 6, 43) tqec=XZZ other=None
   'path_245_15': pos=(2, 4, 43) tqec=ZXZ other=None
   'path_324_2': pos=(4, 4, 43) tqec=XZZ other=None
   'path_325_2': pos=(0, 4, 43) tqec=XZZ other=None
   'path_328_8': pos=(0, 6, 43) tqec=XZZ other=None
   '172_6': pos=(2, 6, 44) tqec=XZZ other=None
   '173_6': pos=(4, 6, 44) tqec=XZX other=None
   '190_old_t': pos=(1, 8, 44) tqec=None other=T
   'path_167_1': pos=(2, 7, 44) tqec=XZZ other=None
   'path_173_3': pos=(3, 5, 44) tqec=ZXZ other=None
   'path_173_4': pos=(2, 5, 44) tqec=ZXZ other=None
   'path_174_2': pos=(1, 6, 44) tqec=XZZ other=None
   'path_174_3': pos=(1, 7, 44) tqec=XZZ other=None
   'path_245_14': pos=(2, 4, 44) tqec=ZXZ other=None
   'path_324_1': pos=(4, 4, 44) tqec=XZZ other=None
   'path_325_1': pos=(0, 4, 44) tqec=XZZ other=None
   'path_328_7': pos=(0, 6, 44) tqec=XZZ other=None
   'path_330_22': pos=(4, 5, 44) tqec=XZX other=None
   '190_old': pos=(2, 6, 45) tqec=XZX other=None
   '180_old': pos=(4, 4, 45) tqec=XZX other=None
   '178_old': pos=(4, 6, 45) tqec=XZX other=None
   '177_old': pos=(0, 4, 45) tqec=XZZ other=None
   'path_173_1': pos=(3, 6, 45) tqec=ZZX other=None
   'path_173_2': pos=(3, 5, 45) tqec=ZXX other=None
   'path_173_5': pos=(2, 5, 45) tqec=ZXZ other=None
   'path_173_6': pos=(1, 5, 45) tqec=ZXZ other=None
   'path_173_7': pos=(0, 5, 45) tqec=XXZ other=None
   'path_174_1': pos=(1, 6, 45) tqec=XZX other=None
   'path_245_13': pos=(2, 4, 45) tqec=ZXZ other=None
   'path_328_6': pos=(0, 6, 45) tqec=XZZ other=None
   'path_330_23': pos=(4, 5, 45) tqec=XZZ other=None
   190: pos=(2, 6, 46) tqec=XZX other=None
   178: pos=(4, 6, 46) tqec=XZX other=None
   180: pos=(4, 4, 46) tqec=XZX other=None
   177: pos=(0, 4, 46) tqec=XZZ other=None
   'path_190_3': pos=(3, 4, 46) tqec=XZX other=None
   'path_193_2': pos=(3, 6, 46) tqec=XZZ other=None
   'path_193_3': pos=(3, 5, 46) tqec=XXZ other=None
   'path_193_4': pos=(2, 5, 46) tqec=ZXZ other=None
   'path_193_5': pos=(1, 5, 46) tqec=ZXZ other=None
   'path_193_6': pos=(0, 5, 46) tqec=ZXZ other=None
   'path_245_12': pos=(2, 4, 46) tqec=ZXZ other=None
   'path_328_5': pos=(0, 6, 46) tqec=XZZ other=None
   'path_330_24': pos=(4, 5, 46) tqec=XZZ other=None
   191: pos=(2, 6, 47) tqec=XZX other=None
   197: pos=(4, 5, 47) tqec=ZXZ other=None
   188: pos=(0, 4, 47) tqec=XZX other=None
   'path_190_1': pos=(3, 5, 47) tqec=XXZ other=None
   'path_190_2': pos=(3, 4, 47) tqec=XZZ other=None
   'path_193_1': pos=(3, 6, 47) tqec=XZX other=None
   'path_197_1': pos=(1, 4, 47) tqec=ZZX other=None
   'path_245_11': pos=(2, 4, 47) tqec=ZXZ other=None
   'path_328_4': pos=(0, 6, 47) tqec=XZZ other=None
   'path_329_4': pos=(4, 6, 47) tqec=ZXZ other=None
   'path_332_5': pos=(4, 4, 47) tqec=XZZ other=None
   'path_202_5': pos=(4, 7, 48) tqec=ZXZ other=None
   'path_202_6': pos=(3, 7, 48) tqec=ZXZ other=None
   'path_202_7': pos=(2, 7, 48) tqec=ZXZ other=None
   'path_202_8': pos=(1, 7, 48) tqec=XXZ other=None
   'path_202_9': pos=(1, 6, 48) tqec=XZZ other=None
   'path_202_10': pos=(1, 5, 48) tqec=XXZ other=None
   'path_202_11': pos=(0, 5, 48) tqec=XXZ other=None
   'path_202_12': pos=(0, 4, 48) tqec=XZZ other=None
   'path_204_5': pos=(4, 5, 48) tqec=ZXZ other=None
   'path_243_10': pos=(2, 6, 48) tqec=ZXZ other=None
   'path_245_10': pos=(2, 4, 48) tqec=ZXZ other=None
   'path_328_3': pos=(0, 6, 48) tqec=XZZ other=None
   'path_329_3': pos=(4, 6, 48) tqec=ZXZ other=None
   'path_330_8': pos=(3, 6, 48) tqec=ZXX other=None
   'path_330_9': pos=(3, 5, 48) tqec=ZZX other=None
   'path_330_10': pos=(3, 4, 48) tqec=ZZX other=None
   'path_332_4': pos=(4, 4, 48) tqec=XZZ other=None
   'path_204_4': pos=(4, 5, 49) tqec=ZXZ other=None
   'path_243_9': pos=(2, 6, 49) tqec=ZXZ other=None
   'path_245_9': pos=(2, 4, 49) tqec=ZXZ other=None
   'path_328_2': pos=(0, 6, 49) tqec=XZZ other=None
   'path_329_2': pos=(4, 6, 49) tqec=ZXZ other=None
   'path_330_7': pos=(3, 6, 49) tqec=ZXZ other=None
   'path_332_3': pos=(4, 4, 49) tqec=XZZ other=None
written: result/visualization/qaoa16_q14_interactive.html
